,besluit,bijlage,inventaris,verzoek,dc_source,foi_decisionDate,verzoek_datum,deelbesluit,bezwaren,mate van openbaarmaking,opmerkingen
https://doi.wooverheid.nl/?doi=nl.mnre1130.2i.2023.8,TRUE,TRUE,TRUE,FALSE,https://www.rijksoverheid.nl/documenten/woo-besluiten/2023/01/03/besluit-op-wob--woo-verzoek-over-correspondentie-tussen-ienw-en-royal-haskoningdhv-over-onderzoek-ordening-stations,2023-01-03,2020-07-10,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1130.2i.2023.58,TRUE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-967150d93b523dacd5d2757f7da74369d08963c0/1,2023-04-21,2020-07-08,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1090.2i.2023.120,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/d36af110-4c54-4153-8f3f-d3551c209cc0/1,2023-07-12,2020-06-08,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1153.2i.2023.764,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/3371d1f3-37a5-4baf-b897-35907f12eb01/2,2023-01-23,2020-04-23,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.194,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/c2702a01-0dac-4c1b-afd8-73cdf7d398c1/1,2023-08-31,2020-02-24,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1058.2i.2023.343,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/25b69c4f-281b-4390-ad8d-feeb5985e46f/1,2023-08-29,2020-02-24,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1130.2i.2023.277,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ef79aad6-499b-49dd-835f-b13bc331f814/1,2023-02-06,2020-02-24,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1130.2i.2023.374,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/524a5058-5ab6-428d-b96e-bb1c531966f9/1,2023-05-23,2020-02-24,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1130.2i.2023.376,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/48e673e7-2b64-49e3-b6c7-94c77b07b929/1,2023-06-26,2020-02-24,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1130.2i.2023.403,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/6eed5ca5-76a5-4e16-b16d-4cbd6e1bd00e/1,2023-06-30,2020-02-24,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1034.2i.2023.178,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/fc5d3a8d-45ad-4768-96ed-81b9000b2bae/1,2023-08-28,2019-07-27,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1058.2i.2023.12,TRUE,TRUE,TRUE,FALSE,https://www.rijksoverheid.nl/documenten/woo-besluiten/2023/01/16/woo-besluit-inzake-adopties-vanuit-colombia,2023-01-16,2018-12-12,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1090.2i.2023.15,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-07bd2332c637cfde629e67c114e11bfb033cdac2/1,2023-02-08,2018-11-26,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1058.2i.2023.56,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-fef02a017f0ba6f3c4964da5f5fb7845f4083e3f/1,2023-04-25,2017-04-19,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1090.2i.2023.600,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/b8519d03-f444-473f-98e4-b98dacce07c4/2,2023-10-04,2015-01-01,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1090.2i.2023.638,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/aaad7ddb-12b8-4ecb-8700-2a3edb9b2e08/1,2023-12-15,2015-01-01,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1153.2i.2023.82,TRUE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-da811bf48ffebd119216145e8a8dddbe41b51c4e/1,2023-03-07,2013-12-12,,,,
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.11,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-ebe8cae2cb3bcf90ddf22f575c7daa6b50cd7e8d/1,2023-03-24,2022-09-08,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.12,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-d87e4194b3946306106796501206719eef67b302/1,2023-04-19,2023-01-04,,,Niet Openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.13,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-f13e8d2517ce635754707c8524e04a6053ea52e4/1,2023-04-19,2023-02-27,,,Niet Openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.15,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-18e805653dba1f3b9001274284286491263da870/1,2023-04-13,2023-01-13,,,Gedeeltelijk openbaar,de info waarnaar gevraagd wordt is inmiddels openbaar gemaakt door een ander ministerie.
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.16,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-473580d2c1809c5f394488098b28e6c2cf749660/1,2023-04-24,8 september 2022,,,Geheel openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.18,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-6f87e95dc71f59418076aa5bb407e20dcc193942/1,2023-05-03,21 april 2023,,,Niet Openbaar,"Er wordt een hele reeks aan data genoemd, en dat de ontvangst niet bevestigd is "
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.37,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/1dba450f-1b6b-4983-8362-613b5465ff46/1,2023-07-04,2023-03-15,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.4,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-a000836ddcf44dff30de20a4d34b0897cb209fe2/1,2023-01-26,2022-08-12,,,Niet Openbaar,Geen bevestigingsdatum
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.45,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ce059b6b-6957-48bc-9a8f-cbba7585e0e7/2,2023-02-09,2023-01-26,,,Niet Openbaar,Geen bevestigingsdatum
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.6,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-50f19a5c7ad3cf6d8bad6f3b44c682a939bd9566/1,2023-02-23,2023-10-10,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1010.2i.2023.93,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/e7ce06eb-672c-4418-bb99-430b8844883b/1,2023-12-19,2023-08-03,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.10,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-a3f47c3c7fd4f17185edabb03a9cf9491e12d6ce/1,2023-03-03,2022-12-23,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.15,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-7748c73fee3637bbc0cdc2c4ff02a4da859f8f60/1,2023-02-01,2022-08-22,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.16,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-354ba1adbfd7115ee0a64cb577c0301f1c1b7448/1,2023-03-01,2022-09-28,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.20,FALSE,FALSE,FALSE,TRUE,https://open.overheid.nl/Details/ronl-05bbf8d732ba5cbadf378b67e9c1b927d06c6abd/2,2023-03-14,2022-11-30,,,Niet Openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.21,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-a368392aa1d3edd84affb35d87be7ec116cb849e/1,2023-03-27,2023-02-15,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.24,FALSE,FALSE,FALSE,TRUE,https://open.overheid.nl/Details/ronl-e4d659c0fd4a8a3c4a2d3fa736417aca457de6a7/1,2023-04-18,2023-04-05,,,Niet Openbaar,Info waarnaar gevraagd wordt is al openbaar
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.25,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-895273bb081c7f157bc944acedfbd602b9d55249/1,2023-03-31,2022-07-16,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.27,FALSE,TRUE,FALSE,TRUE,https://open.overheid.nl/Details/ronl-72a67d809801b07ae0f9040446d43f96f2deb0a4/1,2023-05-03,2023-02-09,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.29,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-6bdc5f83e57cb3c5513122e72baf16ff31b59d05/1,2023-05-03,2022-07-04,Aanvullend Besluit,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.40,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/56cef12f-7762-42b8-829e-9cd163f73217/2,2023-05-26,???,???,,???,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.48,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/f26688c2-90d5-41a0-bbba-29327af01b46/1,2023-06-23,???,???,,???,"Ook dit is raar, lijkt een document dat gedeeld is n.a.v. een verzoek."
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.49,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/3be5bec8-797e-440a-8ccf-c528562309a8/1,2023-06-23,2022-09-28,,,Gedeeltelijk openbaar,Dit verzoek hoort bij het document van rij 1500
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.5,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-db3adecd1ff2386cc7f1e8c0b63482f7be120ccf/1,2023-02-08,2022-06-24,1e deelbesluit,Ja,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.50,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/12d4885e-fd91-4d35-b5eb-c743c22e9bd2/1,2023-06-23,???,???,,???,Dit document hoort bij het verzoek van rij 1501
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.52,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/3801efe8-574d-4943-a06e-b8926a6058e0/1,2023-07-12,???,???,,???,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.53,FALSE,TRUE,FALSE,TRUE,https://open.overheid.nl/Details/2246f340-3783-421f-b49d-aa6111020564/1,2023-07-12,2023-04-25,,,,Dit verzoek hoort bij het document van rij 1504
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.9,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-eaa7b62f9627ce18de05ba146b76e0a3efdb700a/1,2023-02-28,2022-11-01,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.10,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-262f61aaad983a22a80f6c7c182964350ada69ca/1,2023-03-02,2022-11-03,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.11,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-df33939a795740f3f6a2656882789570163b6810/1,2023-03-13,2022-11-04,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.12,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-fe1e33251d8732eac0c507754aac9f8d4e20b357/1,2023-03-20,2022-08-17,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.123,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/8206a22c-921b-4a09-8276-ed036eeb7789/1,2023-09-21,2023-08-25,,,Geheel openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.127,FALSE,FALSE,FALSE,TRUE,https://open.overheid.nl/Details/468e2e7a-52d8-4851-a2ad-e1e36a92f246/1,2023-11-13,2023-09-30,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.13,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-9b9bd2f451ccf88a5220f173bff41f33536630f8/1,2023-03-22,2023-03-15,,,Niet Openbaar,Gevraagde info is niet aanwezig
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.15,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-5a68514d08c4de1a5c7116effa181e24615e1dd2/1,2023-03-31,2023-03-15,,,Niet Openbaar,Andere regelgeving van toepassing op politiegegevens.
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.2,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-a3f3cfba6d81ddc3c57e6b6d08004ed714966db0/1,2023-02-01,???,,,???,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.3,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-8372d419a0f8a3ad2ba38bdf92a0a19b5f8c8987/1,2023-02-10,2023-01-02,,,Geheel openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.30,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/7ab871ab-79be-4881-a37e-c1a098e0d413/1,2023-05-16,2023-03-08,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.6,FALSE,FALSE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-23f8e267bff3f57299eb9388a48c7490d55e7052/1,2023-02-27,2023-01-16,,,Geheel openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.8,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-9c7ae7141949cb3ed38ac36c852ab54b0d9a1e66/2,2023-03-08,2023-02-21,,,Niet Openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.12,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-fa8d9803e5ec900ae7a9e68d91030945353896e0/1,2023-03-30,2022-05-12,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.15,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-23c1c67394ee2eb6a85d1d409264cbcd0384ff13/1,2023-05-01,2023-02-22,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.39,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/497e0010-57f7-40f2-af9c-86023cf9b17f/2,2023-04-26,2022-08-26,1e deelbesluit,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.4,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-ca8e663c2d45b7ee261f607ce15f25ad6f7bcc7d/1,2023-02-21,2022-06-15,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.68,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/b732b848-4f07-42dc-843c-5823a5b8edfc/2,2023-04-26,???,,,???,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.69,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/5e9cb0cb-324e-48d2-b261-9906a206bd48/1,2023-04-26,???,,,???,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.7,FALSE,TRUE,TRUE,FALSE,https://open.overheid.nl/Details/ronl-67e7ceb5caeced65dca64c62cab9a79b8ef721e1/1,2023-03-07,2022-10-07,1e deelbesluit,,Gedeeltelijk openbaar,Er is geen helder besluit te vinden in dit document
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.70,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/2c34b3d7-ae4d-4bcd-a24e-95b598ed459c/1,2023-04-26,,,,,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.71,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/11a20ce7-f737-4a35-8624-ed8a0b7a3d01/1,2023-04-26,,,,,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.72,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/0f3cc1ba-df6e-4523-a8ec-144f2eb0648d/1,2023-04-26,,,,,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.73,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/e5bafe83-b30e-4872-b879-c9896110124b/1,2023-04-26,,,,,Dit is een document dat is gedeeld is n.a.v. een verzoek.
https://doi.wooverheid.nl/?doi=nl.mnre1034.2i.2023.13,FALSE,FALSE,TRUE,TRUE,https://open.overheid.nl/Details/ronl-5ec56c997a6dfa9c4890417231d0679d860aec06/1,2023-01-12,2022-09-07,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1034.2i.2023.164,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/d2ba5fed-3df8-4e9c-95c1-fee6365333ea/1,2023-07-31,2023-05-15,,Ja,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1034.2i.2023.165,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/9a997fe9-4ad2-4337-980a-014808a27c6e/1,2023-08-01,2023-04-05,,,Niet openbaar,Gevraagde info is niet aanwezig
https://doi.wooverheid.nl/?doi=nl.mnre1034.2i.2023.169,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/e16634e8-dcb6-4bd0-bad3-73c61a78839f/1,2023-08-10,2023-05-31,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1034.2i.2023.172,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/66a3dcf9-acfd-4c99-825d-a4f4b9b49ac6/1,2023-08-16,2022-05-13,,,Gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1034.2i.2023.173,FALSE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/8422167e-b105-47e6-bcfe-21c4805d4c25/1,2023-08-21,???,,,???,Dit is een document dat is gedeeld is n.a.v. een verzoek.
